日期,收盘,开盘,高,低,交易量,涨跌幅
2007年9月20日,4222.42 ,4171.67 ,"4,237.52","4,169.91",2.25B,1.46%
2007年9月19日,4161.59 ,4212.19 ,"4,226.36","4,121.72",2.20B,-1.03%
2007年9月18日,4204.70 ,4261.45 ,"4,269.59","4,145.84",3.13B,-0.78%
2007年9月17日,4237.92 ,4170.95 ,"4,244.98","4,170.33",3.00B,1.74%
2007年9月14日,4165.57 ,4148.08 ,"4,177.87","4,079.18",2.47B,0.54%
2007年9月13日,4143.11 ,4056.18 ,"4,145.11","4,042.96",2.45B,2.66%
2007年9月12日,4035.72 ,3977.03 ,"4,056.17","3,939.35",2.47B,1.09%
2007年9月11日,3992.03 ,4182.72 ,"4,199.27","3,968.23",2.80B,-4.33%
2007年9月10日,4172.81 ,4052.55 ,"4,182.19","4,020.71",2.69B,1.48%
2007年9月7日,4111.93 ,4186.44 ,"4,205.61","4,099.74",3.34B,-2.21%
2007年9月6日,4204.80 ,4166.91 ,"4,243.08","4,155.39",3.13B,1.38%
2007年9月5日,4147.75 ,4162.57 ,"4,191.83","4,074.29",2.66B,-0.46%
2007年9月4日,4166.85 ,4226.94 ,"4,245.94","4,144.54",3.42B,-1.74%
2007年9月3日,4240.64 ,4176.86 ,"4,252.75","4,176.86",3.22B,2.18%
2007年8月31日,4150.17 ,4118.81 ,"4,158.99","4,070.87",2.52B,0.95%
2007年8月30日,4111.29 ,4104.51 ,"4,147.96","4,086.62",2.25B,0.76%
2007年8月29日,4080.08 ,4113.90 ,"4,158.74","4,059.01",2.77B,-1.63%
2007年8月28日,4147.86 ,4119.24 ,"4,164.82","4,058.00",3.14B,0.32%
2007年8月27日,4134.69 ,4128.74 ,"4,188.18","4,091.61",3.54B,0.73%
2007年8月24日,4104.66 ,4037.18 ,"4,120.75","4,032.25",3.02B,2.28%
2007年8月23日,4013.34 ,3962.64 ,"4,033.74","3,925.24",2.45B,1.61%
2007年8月22日,3949.83 ,3839.10 ,"3,972.03","3,830.50",2.72B,1.18%
2007年8月21日,3903.66 ,3851.38 ,"3,924.82","3,849.42",3.22B,1.90%
2007年8月20日,3831.05 ,3718.20 ,"3,831.50","3,709.52",3.03B,6.23%
2007年8月17日,3606.53 ,3674.42 ,"3,758.54","3,597.59",3.05B,-2.50%
2007年8月16日,3698.95 ,3775.36 ,"3,782.85","3,660.61",3.03B,-2.64%
2007年8月15日,3799.24 ,3782.62 ,"3,823.94","3,712.86",2.91B,0.32%
2007年8月14日,3787.11 ,3740.01 ,"3,793.68","3,715.26",2.92B,1.24%
2007年8月13日,3740.57 ,3717.53 ,"3,796.17","3,690.62",4.83B,0.88%
2007年8月10日,3707.92 ,3700.92 ,"3,739.02","3,634.99",3.56B,0.09%
2007年8月9日,3704.58 ,3598.21 ,"3,723.48","3,596.18",3.74B,3.01%
2007年8月8日,3596.28 ,3578.24 ,"3,654.44","3,533.77",4.89B,-0.45%
2007年8月7日,3612.70 ,3606.59 ,"3,641.23","3,562.48",3.47B,0.49%
2007年8月6日,3595.03 ,3552.00 ,"3,608.40","3,539.07",3.15B,2.13%
2007年8月3日,3520.14 ,3390.01 ,"3,521.97","3,390.01",3.69B,4.69%
2007年8月2日,3362.46 ,3298.63 ,"3,388.51","3,279.47",2.53B,2.47%
2007年8月1日,3281.34 ,3408.53 ,"3,430.05","3,267.68",3.21B,-3.26%
2007年7月31日,3391.86 ,3347.62 ,"3,394.88","3,314.76",2.72B,0.96%
2007年7月30日,3359.71 ,3294.68 ,"3,372.61","3,290.85",3.20B,2.01%
2007年7月27日,3293.38 ,3285.68 ,"3,306.15","3,249.35",2.62B,-0.65%
2007年7月26日,3315.02 ,3323.37 ,"3,336.94","3,286.49",2.59B,0.31%
2007年7月25日,3304.75 ,3229.29 ,"3,305.91","3,229.24",2.81B,2.41%
2007年7月24日,3226.96 ,3242.20 ,"3,280.75","3,210.00",3.20B,0.04%
2007年7月23日,3225.64 ,3133.28 ,"3,227.49","3,133.28",4.10B,3.96%
2007年7月20日,3102.79 ,2972.68 ,"3,104.77","2,972.68",2.57B,4.38%
2007年7月19日,2972.50 ,2971.36 ,"2,998.42","2,953.84",1.34B,-0.21%
2007年7月18日,2978.90 ,2944.07 ,"3,017.91","2,932.12",2.35B,0.76%
2007年7月17日,2956.50 ,2872.81 ,"2,969.20","2,847.40",1.40B,2.71%
2007年7月16日,2878.36 ,2974.92 ,"2,980.92","2,877.54",1.13B,-3.10%
2007年7月13日,2970.34 ,2976.54 ,"2,981.48","2,939.78",1.18B,0.03%
2007年7月12日,2969.57 ,2945.14 ,"2,985.04","2,932.43",1.34B,1.09%
2007年7月11日,2937.60 ,2920.74 ,"2,944.95","2,897.32",1.32B,0.02%
2007年7月10日,2936.94 ,2957.06 ,"2,997.78","2,927.73",2.24B,-0.07%
2007年7月9日,2939.10 ,2883.54 ,"2,953.13","2,858.92",2.15B,2.74%
2007年7月6日,2860.74 ,2733.69 ,"2,862.12","2,700.76",1.92B,4.18%
2007年7月5日,2745.97 ,2843.69 ,"2,860.09","2,743.42",1.73B,-4.58%
2007年7月4日,2877.80 ,2961.38 ,"2,965.61","2,865.00",1.53B,-2.62%
2007年7月3日,2955.21 ,2922.10 ,"2,960.64","2,903.30",2.04B,1.52%
2007年7月2日,2910.89 ,2906.14 ,"2,943.73","2,828.36",2.18B,-0.17%
2007年6月29日,2915.88 ,2904.36 ,"2,986.01","2,889.64",2.25B,-1.81%
2007年6月28日,2969.49 ,3063.24 ,"3,099.16","2,968.99",2.90B,-2.87%
2007年6月27日,3057.34 ,2977.19 ,"3,068.32","2,956.81",2.42B,3.07%
2007年6月26日,2966.24 ,2892.03 ,"2,968.39","2,860.72",2.01B,0.81%
2007年6月25日,2942.29 ,3054.28 ,"3,082.82","2,927.78",2.68B,-3.13%
2007年6月22日,3037.51 ,3114.82 ,"3,146.00","2,982.23",2.87B,-2.33%
2007年6月21日,3109.91 ,3048.37 ,"3,118.67","3,043.30",2.62B,1.66%
